,Award,Rank,Player,,,
John,Vezina,1,Connor Hellebuyck,,,
John,Vezina,2,Andrei Vasilevskiy,,,Connor Hellebuyck
John,Vezina,3,Logan Thompson,,,
John,Vezina,4,Jacob Markstrom,,,
John,Vezina,5,Linus Ullmark,,,
John,James Norris,1,Shayne Gotisbehere,,,
John,James Norris,2,Evan Bouchard,,,
John,James Norris,3,Sean Walker,,,
John,James Norris,4,Quinn Hughes,,,
John,James Norris,5,Nate Schmidt,,,
John,Lady Bing,1,Brayed Point,,,
John,Lady Bing,2,William Karlsson,,,
John,Lady Bing,3,Cole Schwindt,,,
John,Lady Bing,4,Anze Kopitar,,,
John,Lady Bing,5,Jimmy Vesey,,,
John,Frank J. Selke,1,Jordan Martinook,,,
John,Frank J. Selke,2,Fabian Zetterlund,,,
John,Frank J. Selke,3,Nino Niederreiter,,,
John,Frank J. Selke,4,Connor McMichael,,,
John,Frank J. Selke,5,Timo Meier,,,
John,Hart,1,Leon Draisaitl,,,
John,Hart,2,Nathan MacKinnon,,,
John,Hart,3,Nikita Kucherov,,,
John,Hart,4,David Pastrnak,,,
John,Hart,5,Kyle Connor,,,
John,Calder,1,Kirill Machenko,,,
John,Calder,2,Wyatt Johnston,,,
John,Calder,3,Marco Rossi,,,
John,Calder,4,Logan Thompson,,,
John,Calder,5,Dylan Holloway,,,